annotation_id	source	DMVs	Virions	DMS	connectors	zER	Fused DMVs	Peroxisomes	Golgi	ER	Mitochondria	MVB/Lys	Lamellar Bodies	Lipid droplets	autophagosomes	Glycogen clusters	Nucleus	PM
47	lm0219_2	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0
48	lm0274_1	1	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	1
49	lm0274_2	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1
50	lm0297_1	1	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0
51	lm0304_1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0
52	lm0306_1	1	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0
53	lm0314_1	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	0
54	lm0315_1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	1	0
55	lm0316_1	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0
56	lm0318_1	1	0	1	1	0	1	1	0	1	1	0	1	0	0	0	1	0
57	lm0318_2	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0
58	lm0318_3	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	1	0
59	lm0362_1	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0
60	lm0368_1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0
61	lm0374_1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0
62	lm0374_2	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0
63	lm0375_1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	1	0	0
64	lm0375_2	1	1	0	1	0	0	1	1	1	0	0	0	1	0	1	0	0
65	lm0389_1	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0
66	lm0408_1	1	1	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1
67	lm0416_1	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0
68	lm0421_1	1	1	0	1	0	0	1	1	1	0	0	0	0	1	0	1	1
69	lm0421_2	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	0	0
70	lm0441_1	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0
71	lm0451_1	1	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0
72	lm0451_2	1	1	0	1	0	1	1	1	1	1	1	0	0	0	1	1	0
73	lm0458_1	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	0	0
74	lm0466_1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0
75	lm0511_1	1	1	1	1	0	0	1	0	1	1	1	0	0	1	0	0	0
76	lm0520_1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1
77	lm0520_2	1	0	1	1	0	0	1	0	1	1	1	0	1	0	1	0	0
78	lm0608_1	1	1	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0
79	lm0608_2	1	1	0	1	0	0	1	0	1	1	1	1	0	0	1	1	0
80	lm0620_1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0
81	lm0629_1	1	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0
82	lm0631_1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	1	0
83	lm0683_1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0
84	lm0686_1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1
85	lm0787_1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
86	lm0788_1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0
87	lm0791_1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0
88	lm0827_1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0
89	lm0832_1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0
90	lm0862_1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0
91	lm0891_1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	1	0
92	lm0972_1	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0
93	lm0979_1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0
94	lm1002_1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0
95	lm1015_1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0
96	lm1049_1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0
